File Name,Root Directory,File Size (MB),File Size (GB)
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E02.1080p.WEB.H264-PFa\Fixer.Upper.S03E02.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E02.1080p.WEB.H264-PFa,1920.74,1.88
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E03.1080p.WEB.H264-PFa\Fixer.Upper.S03E03.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E03.1080p.WEB.H264-PFa,1936.48,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E04.1080p.WEB.H264-PFa\Fixer.Upper.S03E04.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E04.1080p.WEB.H264-PFa,1938.5,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E05.1080p.WEB.H264-PFa\Fixer.Upper.S03E05.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E05.1080p.WEB.H264-PFa,1956.33,1.91
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E06.1080p.WEB.H264-PFa\Fixer.Upper.S03E06.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E06.1080p.WEB.H264-PFa,1928.3,1.88
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E07.1080p.WEB.H264-PFa\Fixer.Upper.S03E07.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E07.1080p.WEB.H264-PFa,1927.96,1.88
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E08.1080p.WEB.H264-PFa\Fixer.Upper.S03E08.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E08.1080p.WEB.H264-PFa,1938.89,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E09.1080p.WEB.H264-PFa\Fixer.Upper.S03E09.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E09.1080p.WEB.H264-PFa,1931.47,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E10.1080p.WEB.H264-PFa\Fixer.Upper.S03E10.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E10.1080p.WEB.H264-PFa,1905.24,1.86
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E11.1080p.WEB.H264-PFa\Fixer.Upper.S03E11.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E11.1080p.WEB.H264-PFa,1938.39,1.89
